Initialization,step_tfeb9,hits,s10,s15,s20,s25,s30,s35,,
2021-01-01T00:00:00.000000000,39,0.00,0.60,0.07,0.07,0.33,0.07,0.13,,
2021-01-02T00:00:00.000000000,38,0.00,,,,,,,,
2021-01-03T00:00:00.000000000,37,1.00,,,,,,,,
2021-01-04T00:00:00.000000000,36,1.00,,,,,,,,
2021-01-05T00:00:00.000000000,35,0.00,,,,,,,,
2021-01-06T00:00:00.000000000,34,0.00,,,,,,,,
2021-01-07T00:00:00.000000000,33,0.00,,,,,,,,
2021-01-08T00:00:00.000000000,32,0.00,,,,,,,,
2021-01-09T00:00:00.000000000,31,0.00,,,,,,,,
2021-01-10T00:00:00.000000000,30,0.00,,,,,,,,
2021-01-11T00:00:00.000000000,29,1.00,,,,,,,,
2021-01-12T00:00:00.000000000,28,0.00,,,,,,,,
2021-01-13T00:00:00.000000000,27,1.00,,,,,,,,
2021-01-14T00:00:00.000000000,26,1.00,,,,,,,,
2021-01-15T00:00:00.000000000,25,1.00,,,,,,,,
2021-01-16T00:00:00.000000000,24,2.00,,,,,,,,
2021-01-17T00:00:00.000000000,23,0.00,,,,,,,,
2021-01-18T00:00:00.000000000,22,1.00,,,,,,,,
2021-01-19T00:00:00.000000000,21,0.00,,,,,,,,
2021-01-20T00:00:00.000000000,20,0.00,,,,,,,,
2021-01-21T00:00:00.000000000,19,0.00,,,,,,,,
2021-01-22T00:00:00.000000000,18,0.00,,,,,,,,
2021-01-23T00:00:00.000000000,17,1.00,,,,,,,,
2021-01-24T00:00:00.000000000,16,0.00,,,,,,,,
2021-01-25T00:00:00.000000000,15,0.00,,,,,,,,
2021-01-26T00:00:00.000000000,14,0.00,,,,,,,,
2021-01-27T00:00:00.000000000,13,2.00,,,,,,,,
2021-01-28T00:00:00.000000000,12,2.00,,,,,,,,
2021-01-29T00:00:00.000000000,11,0.00,,,,,,,,
2021-01-30T00:00:00.000000000,10,2.00,,,,,,,,
2021-01-31T00:00:00.000000000,9,3.00,,,,,,,,
,,,,,,,,,,
